ViewID	SpeciesID	SubspeciesID	Family	Mnemonic	Genus	SpeciesName	Rank	Subspecies	Authority	IDLevel	subspMnemonic	subspAuthority	FieldFamily	Lifeform	Description	wsg	wsglevel	ListOfOldNames	Specimens	Reference
1	56	NULL	Fabaceae	AESAME	Aeschynomene	americana	NULL	NULL	(Poir.) Rudd	species	NULL	NULL	Fabaceae	NULL	NULL	0.678156	family	NULL	NULL	NULL
2	57	NULL	Euphorbiaceae	ALCFLO	Alchorneopsis	floribunda	NULL	NULL	(Benth.) Müll. Arg.	species	NULL	NULL	Euphorbiaceae	NULL	NULL	0.426667	species	NULL	NULL	NULL
3	58	NULL	Euphorbiaceae	ALCLAT	Alchornea	latifolia	NULL	NULL	Sw.	species	NULL	NULL	Euphorbiaceae	NULL	NULL	0.420263	species	NULL	NULL	NULL
4	59	NULL	Fabaceae-papilionoideae	ANDINE	Andira	inermis	NULL	NULL	(W. Wright) Kunth ex DC.	species	NULL	NULL	Fabaceae	NULL	NULL	0.641952	species	NULL	NULL	NULL
5	60	NULL	Rubiaceae	ANTOBT	Stenostomum	obtusifolium	NULL	NULL	(Urb.) Britton & P. Wilson	species	NULL	NULL	Rubiaceae	NULL	NULL	0.63564	family	NULL	NULL	NULL
6	61	NULL	Myrsinaceae	ARDGLA	Ardisia	glauciflora	NULL	NULL	Urb.	species	NULL	NULL	Myrsinaceae	NULL	NULL	0.56	species	NULL	NULL	NULL
7	62	NULL	Moraceae	ARTALT	Artocarpus	altilis	NULL	NULL	(Parkinson) Fosberg	species	NULL	NULL	Moraceae	NULL	NULL	0.424024	species	NULL	NULL	NULL
8	63	NULL	Lauraceae	BEIPEN	Beilschmiedia	pendula	NULL	NULL	(Sw.) Hemsl.	species	NULL	NULL	Lauraceae	NULL	NULL	0.507	species	NULL	NULL	NULL
9	64	NULL	Solanaceae	BRUPOR	Brunfelsia	portoricensis	NULL	NULL	Krug & Urb.	species	NULL	NULL	Solanaceae	NULL	NULL	0.783083	species	NULL	NULL	NULL
10	65	NULL	Combretaceae	BUCTET	Buchenavia	tetraphylla	NULL	NULL	(Aubl.) R.A. Howard	species	NULL	NULL	Combretaceae	NULL	NULL	0.619444	species	NULL	NULL	NULL
