DBHID,PlotName,PlotID,Family,Genus,SpeciesName,Mnemonic,Subspecies,SpeciesID,SubspeciesID,QuadratName,QuadratID,PX,PY,QX,QY,TreeID,Tag,StemID,StemNumber,StemTag,PrimaryStem,CensusID,PlotCensusNumber,DBH,HOM,ExactDate,Date,ListOfTSM,HighHOM,LargeStem,Status
143,luquillo,1,Burseraceae,Dacryodes,excelsa,DACEXC,NULL,99,NULL,113,193,10.31,245.36,10.31,5.36,104,10009,143,0,10009,NULL,1,1,115,1.2,1991-06-11,11484,MAIN;A,1,NULL,alive
103518,luquillo,1,Burseraceae,Dacryodes,excelsa,DACEXC,NULL,99,NULL,113,193,10.31,245.36,10.31,5.36,104,10009,143,0,10009,NULL,2,2,147,1.2,1996-01-08,13156,MAIN;A,1,NULL,alive
217487,luquillo,1,Burseraceae,Dacryodes,excelsa,DACEXC,NULL,99,NULL,113,193,10.31,245.36,10.31,5.36,104,10009,143,0,10009,NULL,3,3,169,1.3,2001-03-29,15063,MAIN;A,1,NULL,alive
347333,luquillo,1,Burseraceae,Dacryodes,excelsa,DACEXC,NULL,99,NULL,113,193,10.31,245.36,10.31,5.36,104,10009,143,0,10009,NULL,4,4,186,1.4,2006-08-01,17014,MAIN;A,1,NULL,alive
439947,luquillo,1,Burseraceae,Dacryodes,excelsa,DACEXC,NULL,99,NULL,113,193,10.31,245.36,10.31,5.36,104,10009,143,0,10009,NULL,5,5,193,1.4,2011-11-02,18933,MAIN;A,1,NULL,alive
582850,luquillo,1,Burseraceae,Dacryodes,excelsa,DACEXC,NULL,99,NULL,113,193,10.31,245.36,10.31,5.36,104,10009,143,0,10009,NULL,6,6,195,1.45,2016-04-20,20564,MAIN;A,1,NULL,alive
158,luquillo,1,Myrtaceae,Myrcia,splendens,MYRSPL,NULL,156,NULL,1021,330,182.89,410.15,2.89,10.15,119,100104,158,0,100104,NULL,1,1,16,1.3,1993-07-28,12262,MAIN;A,1,NULL,alive
103533,luquillo,1,Myrtaceae,Myrcia,splendens,MYRSPL,NULL,156,NULL,1021,330,182.89,410.15,2.89,10.15,119,100104,158,0,100104,NULL,2,2,17.5,1.25,1996-06-19,13319,MAIN;A,1,NULL,alive
217498,luquillo,1,Myrtaceae,Myrcia,splendens,MYRSPL,NULL,156,NULL,1021,330,182.89,410.15,2.89,10.15,119,100104,158,0,100104,NULL,3,3,33.2,1.26,2002-01-30,15370,MAIN;A,1,NULL,alive
384255,luquillo,1,Myrtaceae,Myrcia,splendens,MYRSPL,NULL,156,NULL,1021,330,182.89,410.15,2.89,10.15,119,100104,158,0,100104,NULL,4,4,36.5,1.26,2006-12-05,17140,MAIN;A,1,NULL,alive
466597,luquillo,1,Myrtaceae,Myrcia,splendens,MYRSPL,NULL,156,NULL,1021,330,182.89,410.15,2.89,10.15,119,100104,158,0,100104,NULL,5,5,40.4,1.26,2012-02-06,19029,MAIN;A,1,NULL,alive
578696,luquillo,1,Myrtaceae,Myrcia,splendens,MYRSPL,NULL,156,NULL,1021,330,182.89,410.15,2.89,10.15,119,100104,158,0,100104,NULL,6,6,44.9,1.26,2016-08-04,20670,MAIN;A,1,NULL,alive
222,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NULL,70,NULL,921,329,164.61,409.5,4.61,9.5,180,100171,222,0,100095,NULL,1,1,17.2,1.3,1993-07-29,12263,SPROUT;A,1,NULL,alive
103597,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NULL,70,NULL,921,329,164.61,409.5,4.61,9.5,180,100171,222,0,100095,NULL,2,2,20,1.3,1996-06-21,13321,SPROUT;A,1,NULL,alive
217548,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NULL,70,NULL,921,329,164.61,409.5,4.61,9.5,180,100171,222,0,100095,NULL,3,3,NA,NA,2002-01-10,15350,SPROUT;LS,1,NULL,stem dead
223,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NULL,70,NULL,921,329,164.61,409.5,4.61,9.5,180,100171,223,0,100096,NULL,1,1,11.7,1.3,1993-07-29,12263,SPROUT;A,1,NULL,alive
103598,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NULL,70,NULL,921,329,164.61,409.5,4.61,9.5,180,100171,223,0,100096,NULL,2,2,NA,NA,1996-06-21,13321,SPROUT;LS,1,NULL,stem dead
224,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NULL,70,NULL,921,329,164.61,409.5,4.61,9.5,180,100171,224,0,100171,NULL,1,1,80,1.3,1993-07-29,12263,MAIN;A,1,NULL,alive
103599,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NULL,70,NULL,921,329,164.61,409.5,4.61,9.5,180,100171,224,0,100171,NULL,2,2,82,1.3,1996-06-21,13321,MAIN;A,1,NULL,alive
217549,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NULL,70,NULL,921,329,164.61,409.5,4.61,9.5,180,100171,224,0,100171,NULL,3,3,80,1.24,2002-01-10,15350,MAIN;A;ST;T,1,NULL,alive
384297,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NULL,70,NULL,921,329,164.61,409.5,4.61,9.5,180,100171,224,0,100171,NULL,4,4,NA,NA,2006-11-29,17134,MAIN;A;LS;B,1,NULL,broken below
466622,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NULL,70,NULL,921,329,164.61,409.5,4.61,9.5,180,100171,224,0,100171,NULL,5,5,NA,NA,2012-02-03,19026,MAIN;A;LS;B,1,NULL,broken below
617046,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NULL,70,NULL,921,329,164.61,409.5,4.61,9.5,180,100171,224,0,100171,NULL,6,6,NA,NA,2016-08-04,20670,MAIN;A;LS;B,1,NULL,broken below
225,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NULL,70,NULL,921,329,164.61,409.5,4.61,9.5,180,100171,225,0,100174,NULL,1,1,19.4,1.3,1993-07-29,12263,SPROUT;A,1,NULL,alive
103600,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NULL,70,NULL,921,329,164.61,409.5,4.61,9.5,180,100171,225,0,100174,NULL,2,2,24.4,1.3,1996-06-21,13321,SPROUT;A,1,NULL,alive
217550,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NULL,70,NULL,921,329,164.61,409.5,4.61,9.5,180,100171,225,0,100174,NULL,3,3,41.7,1.3,2002-01-10,15350,SPROUT;A,1,NULL,alive
384298,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NULL,70,NULL,921,329,164.61,409.5,4.61,9.5,180,100171,225,0,100174,NULL,4,4,42.6,1.32,2006-11-29,17134,SPROUT;A,1,NULL,alive
466623,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NULL,70,NULL,921,329,164.61,409.5,4.61,9.5,180,100171,225,0,100174,NULL,5,5,45,1.32,2012-02-03,19026,SPROUT;A,1,NULL,alive
617049,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NULL,70,NULL,921,329,164.61,409.5,4.61,9.5,180,100171,225,0,100174,NULL,6,6,46.1,1.34,2016-08-04,20670,SPROUT;A,1,NULL,alive
736,luquillo,1,Meliaceae,Guarea,guidonia,GUAGUI,NULL,117,NULL,821,328,148.96,414.44,8.96,14.44,602,100649,736,0,100649,NULL,1,1,24.1,1.3,1993-07-30,12264,MAIN;A,1,NULL,alive
