DBHID	PlotName	PlotID	Family	Genus	SpeciesName	Mnemonic	Subspecies	SpeciesID	SubspeciesID	QuadratName	QuadratID	PX	PY	QX	QY	TreeID	Tag	StemID	StemNumber	StemTag	PrimaryStem	CensusID	PlotCensusNumber	DBH	HOM	ExactDate	Date	ListOfTSM	HighHOM	LargeStem	Status
148842	bci	1	Simaroubaceae	Simarouba	amara	simaam	NULL	935	NULL	3909	2806	792.09998	181.20000	12.10000	1.20000	1853	001854	1853	1		main	6	6	508	1.30	2005-07-18	16635	NULL	1	NULL	alive
150985	bci	1	Simaroubaceae	Simarouba	amara	simaam	NULL	935	NULL	3909	2806	792.09998	181.20000	12.10000	1.20000	1853	001854	1853	1		main	171	7	555	1.30	2010-07-27	18470	NULL	1	NULL	alive
148877	bci	1	Sapotaceae	Pouteria	reticulata	poutre	NULL	1155	NULL	3909	2806	792.79999	189.60001	12.80000	9.60000	1857	001858	1857	1		main	6	6	494	1.30	2005-09-30	16709	B;cylN	0	NULL	alive
148912	bci	1	Sapotaceae	Pouteria	reticulata	poutre	NULL	1155	NULL	3909	2806	792.79999	189.60001	12.80000	9.60000	1857	001858	1857	1		main	6	6	415	3.70	2005-09-30	16709	B;cylN	1	NULL	alive
151013	bci	1	Sapotaceae	Pouteria	reticulata	poutre	NULL	1155	NULL	3909	2806	792.79999	189.60001	12.80000	9.60000	1857	001858	1857	1		main	171	7	455	3.70	2010-09-07	18512	B;cylN	1	NULL	alive
149016	bci	1	Malvaceae	Quararibea	asterolepis	quaras		871	13	3908	2805	783.20001	176.80000	3.20000	16.80000	1861	001862	1861	1		main	6	6	774	6.00	2005-10-12	16721	B;cylN	1	NULL	alive
151095	bci	1	Malvaceae	Quararibea	asterolepis	quaras		871	13	3908	2805	783.20001	176.80000	3.20000	16.80000	1861	001862	1861	1		main	171	7	778	6.00	2010-09-10	18515	B;cylN	1	NULL	alive
149050	bci	1	Meliaceae	Guarea	grandifolia	guargr	NULL	434	NULL	3908	2805	799.09998	167.80000	19.10000	7.80000	1864	001865	1864	1		main	6	6	300	1.30	2005-07-14	16631	NULL	1	NULL	alive
151122	bci	1	Meliaceae	Guarea	grandifolia	guargr	NULL	434	NULL	3908	2805	799.09998	167.80000	19.10000	7.80000	1864	001865	1864	1		main	171	7	304	1.30	2010-07-23	18466	NULL	1	NULL	alive
149083	bci	1	Putranjivaceae	Drypetes	standleyi	drypst	NULL	326	NULL	3908	2805	793.40002	170.50000	13.40000	10.50000	1866	001867	1866	1		main	6	6	496	1.30	2005-09-29	16708	B;cylN	0	NULL	alive
149116	bci	1	Putranjivaceae	Drypetes	standleyi	drypst	NULL	326	NULL	3908	2805	793.40002	170.50000	13.40000	10.50000	1866	001867	1866	1		main	6	6	450	3.75	2005-09-29	16708	B;cylY	1	NULL	alive
151149	bci	1	Putranjivaceae	Drypetes	standleyi	drypst	NULL	326	NULL	3908	2805	793.40002	170.50000	13.40000	10.50000	1866	001867	1866	1		main	171	7	454	3.75	2010-09-07	18512	B;cylN	1	NULL	alive
149149	bci	1	Moraceae	Poulsenia	armata	poular	NULL	802	NULL	3907	2804	794.50000	157.10001	14.50000	17.10000	1868	001869	1868	1		main	6	6	576	6.80	2005-10-12	16721	B;cylN	1	NULL	alive
151176	bci	1	Moraceae	Poulsenia	armata	poular	NULL	802	NULL	3907	2804	794.50000	157.10001	14.50000	17.10000	1868	001869	1868	1		main	171	7	595	6.80	2010-09-10	18515	B;cylN	1	NULL	alive
149182	bci	1	Fabaceae-papilionoideae	Swartzia	simplex	swars1	grandiflora	980	7	3907	2804	793.90002	149.20000	13.90000	9.20000	1869	001870	1869	1		main	6	6	226	3.00	2005-09-29	16708	B;cylN	1	NULL	alive
151203	bci	1	Fabaceae-papilionoideae	Swartzia	simplex	swars1	grandiflora	980	7	3907	2804	793.90002	149.20000	13.90000	9.20000	1869	001870	1869	1		main	171	7	229	3.00	2010-09-07	18512	B;cylN	1	NULL	alive
149214	bci	1	Fabaceae-papilionoideae	Platymiscium	pinnatum	pla1pi	NULL	790	NULL	3906	2803	797.50000	129.30000	17.50000	9.30000	1870	001871	1870	1		main	6	6	500	3.80	2005-09-29	16708	B;cylN	1	NULL	alive
151230	bci	1	Fabaceae-papilionoideae	Platymiscium	pinnatum	pla1pi	NULL	790	NULL	3906	2803	797.50000	129.30000	17.50000	9.30000	1870	001871	1870	1		main	171	7	500	3.80	2010-09-06	18511	B;cylY	1	NULL	alive
149246	bci	1	Meliaceae	Trichilia	tuberculata	tri2tu	NULL	1169	NULL	3906	2803	791.50000	122.10000	11.50000	2.10000	1871	001872	1871	1		main	6	6	314	1.30	2005-07-11	16628	NULL	1	NULL	alive
151257	bci	1	Meliaceae	Trichilia	tuberculata	tri2tu	NULL	1169	NULL	3906	2803	791.50000	122.10000	11.50000	2.10000	1871	001872	1871	1		main	171	7	335	1.30	2010-07-21	18464	NULL	1	NULL	alive
149278	bci	1	Bignoniaceae	Jacaranda	copaia	jac1co	NULL	540	NULL	3906	2803	786.20001	123.10000	6.20000	3.10000	1872	001873	1872	1		main	6	6	583	1.30	2005-07-11	16628	NULL	1	NULL	alive
151284	bci	1	Bignoniaceae	Jacaranda	copaia	jac1co	NULL	540	NULL	3906	2803	786.20001	123.10000	6.20000	3.10000	1872	001873	1872	1		main	171	7	590	1.30	2010-09-06	18511	B	0	NULL	alive
151311	bci	1	Bignoniaceae	Jacaranda	copaia	jac1co	NULL	540	NULL	3906	2803	786.20001	123.10000	6.20000	3.10000	1872	001873	1872	1		main	171	7	560	3.00	2010-09-06	18511	B;cylY	1	NULL	alive
149342	bci	1	Erythropalaceae	Heisteria	concinna	heisco	NULL	469	NULL	3906	2803	783.70001	123.10000	3.70000	3.10000	1874	001875	1874	1		main	6	6	337	1.30	2005-07-11	16628	NULL	1	NULL	alive
151365	bci	1	Erythropalaceae	Heisteria	concinna	heisco	NULL	469	NULL	3906	2803	783.70001	123.10000	3.70000	3.10000	1874	001875	1874	1		main	171	7	352	1.30	2010-07-21	18464	NULL	1	NULL	alive
149374	bci	1	Meliaceae	Trichilia	tuberculata	tri2tu	NULL	1169	NULL	3906	2803	784.79999	132.10001	4.80000	12.10000	1875	001876	1875	1		main	6	6	235	1.30	2005-07-11	16628	NULL	1	NULL	alive
151392	bci	1	Meliaceae	Trichilia	tuberculata	tri2tu	NULL	1169	NULL	3906	2803	784.79999	132.10001	4.80000	12.10000	1875	001876	1875	1		main	171	7	245	1.30	2010-07-21	18464	NULL	1	NULL	alive
149406	bci	1	Nyctaginaceae	Guapira	standleyana	guapst	NULL	429	NULL	3906	2803	787.50000	136.20000	7.50000	16.20000	1877	001878	1877	1		main	6	6	599	3.30	2005-09-29	16708	B;cylN	0	NULL	alive
149438	bci	1	Nyctaginaceae	Guapira	standleyana	guapst	NULL	429	NULL	3906	2803	787.50000	136.20000	7.50000	16.20000	1877	001878	1877	1		main	6	6	584	4.45	2005-09-29	16708	B;cylN	1	NULL	alive
151419	bci	1	Nyctaginaceae	Guapira	standleyana	guapst	NULL	429	NULL	3906	2803	787.50000	136.20000	7.50000	16.20000	1877	001878	1877	1		main	171	7	601	4.45	2010-09-06	18511	B;cylY	1	NULL	alive
149469	bci	1	Euphorbiaceae	Hura	crepitans	huracr	NULL	492	NULL	3906	2803	792.90002	129.30000	12.90000	9.30000	1878	001879	1878	1		main	6	6	959	2.30	2005-09-29	16708	B;cylN	0	NULL	alive
149500	bci	1	Euphorbiaceae	Hura	crepitans	huracr	NULL	492	NULL	3906	2803	792.90002	129.30000	12.90000	9.30000	1878	001879	1878	1		main	6	6	917	3.55	2005-09-29	16708	B;cylY	1	NULL	alive
151446	bci	1	Euphorbiaceae	Hura	crepitans	huracr	NULL	492	NULL	3906	2803	792.90002	129.30000	12.90000	9.30000	1878	001879	1878	1		main	171	7	923	3.55	2010-09-06	18511	B;cylY	1	NULL	alive
149531	bci	1	Meliaceae	Trichilia	tuberculata	tri2tu	NULL	1169	NULL	3906	2803	790.20001	127.40000	10.20000	7.40000	1879	001880	1879	1		main	6	6	244	1.30	2005-07-11	16628	NULL	1	NULL	alive
151473	bci	1	Meliaceae	Trichilia	tuberculata	tri2tu	NULL	1169	NULL	3906	2803	790.20001	127.40000	10.20000	7.40000	1879	001880	1879	1		main	171	7	245	1.30	2010-07-21	18464	NULL	1	NULL	alive
149562	bci	1	Euphorbiaceae	Hieronyma	alchorneoides	hyeral	NULL	1128	NULL	3905	2802	793.59998	116.10000	13.60000	16.10000	1880	001881	1880	1		main	6	6	851	4.00	2005-09-28	16707	Q;B;cylN	1	NULL	alive
151500	bci	1	Euphorbiaceae	Hieronyma	alchorneoides	hyeral	NULL	1128	NULL	3905	2802	793.59998	116.10000	13.60000	16.10000	1880	001881	1880	1		main	171	7	869	4.00	2010-09-06	18511	B;cylN	1	NULL	alive
149593	bci	1	Sapindaceae	Cupania	latifolia	cupala	NULL	298	NULL	3906	2803	786.40002	120.30000	6.40000	0.30000	1881	001882	1881	1		main	6	6	289	1.30	2005-07-11	16628	NULL	1	NULL	alive
151527	bci	1	Sapindaceae	Cupania	latifolia	cupala	NULL	298	NULL	3906	2803	786.40002	120.30000	6.40000	0.30000	1881	001882	1881	1		main	171	7	NULL	NULL	2010-07-21	18464	D;C	1	NULL	dead
149624	bci	1	Meliaceae	Guarea	guidonia	guargu	NULL	435	NULL	3905	2802	784.09998	109.70000	4.10000	9.70000	1882	001883	1882	1		main	6	6	243	1.30	2005-07-08	16625	NULL	1	NULL	alive
151554	bci	1	Meliaceae	Guarea	guidonia	guargu	NULL	435	NULL	3905	2802	784.09998	109.70000	4.10000	9.70000	1882	001883	1882	1		main	171	7	248	1.30	2010-07-19	18462	NULL	1	NULL	alive
149717	bci	1	Malvaceae	Quararibea	asterolepis	quaras		871	13	3905	2802	792.00000	109.10000	12.00000	9.10000	1885	001886	1885	1		main	6	6	415	3.00	2005-09-28	16707	B;cylN	0	NULL	alive
149747	bci	1	Malvaceae	Quararibea	asterolepis	quaras		871	13	3905	2802	792.00000	109.10000	12.00000	9.10000	1885	001886	1885	1		main	6	6	395	4.20	2005-09-28	16707	B;cylY	1	NULL	alive
151608	bci	1	Malvaceae	Quararibea	asterolepis	quaras		871	13	3905	2802	792.00000	109.10000	12.00000	9.10000	1885	001886	1885	1		main	171	7	421	4.20	2010-09-06	18511	B;cylY	1	NULL	alive
151193	bci	1	Burseraceae	Tetragastris	panamensis	tet2pa	NULL	1007	NULL	3805	2777	761.20001	117.20000	1.20000	17.20000	1951	001953	1951	1		main	6	6	550	3.00	2005-09-28	16707	B;cylN	1	NULL	alive
152998	bci	1	Burseraceae	Tetragastris	panamensis	tet2pa	NULL	1007	NULL	3805	2777	761.20001	117.20000	1.20000	17.20000	1951	001953	1951	1		main	171	7	560	3.00	2010-09-06	18511	B;cylN	1	NULL	alive
151247	bci	1	Euphorbiaceae	Hura	crepitans	huracr	NULL	492	NULL	3806	2778	762.40002	124.60000	2.40000	4.60000	1953	001955	1953	1		main	6	6	1701	3.20	2005-11-12	16752	B;cylN	1	NULL	alive
153050	bci	1	Euphorbiaceae	Hura	crepitans	huracr	NULL	492	NULL	3806	2778	762.40002	124.60000	2.40000	4.60000	1953	001955	1953	1		main	171	7	1713	3.20	2010-09-06	18511	B;cylN	1	NULL	alive
