DBHID	PlotName	PlotID	Family	Genus	SpeciesName	Mnemonic	Subspecies	SpeciesID	SubspeciesID	QuadratName	QuadratID	PX	PY	QX	QY	TreeID	Tag	StemID	StemNumber	StemTag	PrimaryStem	CensusID	PlotCensusNumber	DBH	HOM	ExactDate	Date	ListOfTSM	HighHOM	LargeStem	Status
1621522	bci	1	Violaceae	Hybanthus	prunifolius	hybapr	NULL	494	NULL	4715	3012	957.29999	306.89999	17.30000	6.90000	267125	312412	267125	1		main	6	6	27	1.30	2005-10-05	16714	NULL	1	NULL	alive
1619521	bci	1	Violaceae	Hybanthus	prunifolius	hybapr	NULL	494	NULL	4715	3012	957.29999	306.89999	17.30000	6.90000	267125	312412	267125	1		main	171	7	30	1.30	2010-09-06	18511	NULL	1	NULL	alive
1632477	bci	1	Fabaceae-papilionoideae	Lonchocarpus	heptaphyllus	loncla	NULL	1134	NULL	0022	1261	16.30000	442.50000	16.30000	2.50000	269374	400860	577077	2		main	6	6	NULL	NULL	2005-02-25	16492	OR	1	NULL	broken below
1630644	bci	1	Fabaceae-papilionoideae	Lonchocarpus	heptaphyllus	loncla	NULL	1134	NULL	0022	1261	16.30000	442.50000	16.30000	2.50000	269374	400860	577077	2		main	171	7	NULL	NULL	2010-03-02	18323	D;N	1	NULL	dead
1077531	bci	1	Lauraceae	Beilschmiedia	pendula	beilpe	NULL	99	NULL	1619	2241	324.60001	392.39999	4.60000	12.40000	159260	183595	159260	1		main	6	6	42	1.30	2005-04-18	16544	NULL	1	NULL	alive
1074697	bci	1	Lauraceae	Beilschmiedia	pendula	beilpe	NULL	99	NULL	1619	2241	324.60001	392.39999	4.60000	12.40000	159260	183595	159260	1		main	171	7	NULL	NULL	2010-04-26	18378	D;C	1	NULL	dead
826469	bci	1	Violaceae	Rinorea	sylvatica	rinosy	NULL	895	NULL	4905	3052	980.29999	118.20000	0.30000	18.20000	109920	125801	109920	1		main	6	6	26	1.30	2005-09-23	16702	L	1	NULL	alive
823306	bci	1	Violaceae	Rinorea	sylvatica	rinosy	NULL	895	NULL	4905	3052	980.29999	118.20000	0.30000	18.20000	109920	125801	109920	1		main	171	7	28	1.30	2010-09-02	18507	NULL	1	NULL	alive
1006845	bci	1	Fabaceae-papilionoideae	Swartzia	simplex	swars2	ochnacea	980	8	1918	2315	380.60001	361.00000	0.60000	1.00000	145725	167467	145725	1		main	6	6	28	1.30	2005-05-16	16572	NULL	1	NULL	alive
1003843	bci	1	Fabaceae-papilionoideae	Swartzia	simplex	swars2	ochnacea	980	8	1918	2315	380.60001	361.00000	0.60000	1.00000	145725	167467	145725	1		main	171	7	40	1.30	2010-05-13	18395	NULL	1	NULL	alive
2343383	bci	1	Apocynaceae	Aspidosperma	spruceanum	aspicr	NULL	1112	NULL	2320	2417	464.76001	403.78000	4.76000	3.78000	468654	823295	468227	1	NULL	main	171	7	11	1.30	2010-05-21	18403	NULL	1	NULL	alive
667458	bci	1	Sapindaceae	Cupania	seemannii	cupasy	NULL	1120	NULL	3312	2659	677.40002	242.39999	17.40000	2.40000	77897	092621	985458	19	NULL	main	6	6	60	1.30	2005-07-07	16624	M	1	NULL	alive
667465	bci	1	Sapindaceae	Cupania	seemannii	cupasy	NULL	1120	NULL	3312	2659	677.40002	242.39999	17.40000	2.40000	77897	092621	988051	20	NULL	secondary	6	6	29	1.30	2005-07-07	16624	NULL	1	NULL	alive
665268	bci	1	Sapindaceae	Cupania	seemannii	cupasy	NULL	1120	NULL	3312	2659	677.40002	242.39999	17.40000	2.40000	77897	092621	990309	21	1	main	171	7	72	1.30	2010-06-21	18434	NULL	1	NULL	alive
665275	bci	1	Sapindaceae	Cupania	seemannii	cupasy	NULL	1120	NULL	3312	2659	677.40002	242.39999	17.40000	2.40000	77897	092621	992304	22	2	secondary	171	7	30	1.30	2010-06-21	18434	NULL	1	NULL	alive
1542121	bci	1	Violaceae	Hybanthus	prunifolius	hybapr	NULL	494	NULL	2324	2421	461.29999	480.29999	1.30000	0.30000	252042	288869	252042	1		main	6	6	16	1.30	2005-06-14	16601	NULL	1	NULL	alive
1539889	bci	1	Violaceae	Hybanthus	prunifolius	hybapr	NULL	494	NULL	2324	2421	461.29999	480.29999	1.30000	0.30000	252042	288869	252042	1		main	171	7	18	1.30	2010-05-27	18409	NULL	1	NULL	alive
1477511	bci	1	Burseraceae	Tetragastris	panamensis	tet2pa	NULL	1007	NULL	0510	1828	100.90000	216.10001	0.90000	16.10000	238951	270197	238951	1		main	6	6	21	1.30	2005-02-02	16469	NULL	1	NULL	alive
1474593	bci	1	Burseraceae	Tetragastris	panamensis	tet2pa	NULL	1007	NULL	0510	1828	100.90000	216.10001	0.90000	16.10000	238951	270197	238951	1		main	171	7	26	1.30	2010-02-09	18302	NULL	1	NULL	alive
2017665	bci	1	Violaceae	Hybanthus	prunifolius	hybapr	NULL	494	NULL	1102	2099	220.39999	50.20000	0.40000	10.20000	330740	611027	330740	1		main	6	6	14	1.30	2005-02-15	16482	NULL	1	NULL	alive
2019766	bci	1	Violaceae	Hybanthus	prunifolius	hybapr	NULL	494	NULL	1102	2099	220.39999	50.20000	0.40000	10.20000	330740	611027	330740	1		main	171	7	14	1.30	2010-01-27	18289	NULL	1	NULL	alive
1871898	bci	1	Meliaceae	Guarea	bullata	guarsp	NULL	1127	NULL	0902	2026	194.70000	44.60000	14.70000	4.60000	309682	509071	309682	1		main	6	6	16	1.30	2005-02-21	16488	NULL	1	NULL	alive
1872354	bci	1	Meliaceae	Guarea	bullata	guarsp	NULL	1127	NULL	0902	2026	194.70000	44.60000	14.70000	4.60000	309682	509071	309682	1		main	171	7	16	1.30	2010-01-26	18288	NULL	1	NULL	alive
1512574	bci	1	Annonaceae	Desmopsis	panamensis	des2pa	NULL	316	NULL	1508	2205	310.70001	162.70000	10.70000	2.70000	246293	280140	246293	1		main	6	6	15	1.30	2005-03-17	16512	NULL	1	NULL	alive
1509796	bci	1	Annonaceae	Desmopsis	panamensis	des2pa	NULL	316	NULL	1508	2205	310.70001	162.70000	10.70000	2.70000	246293	280140	246293	1		main	171	7	16	1.30	2010-03-18	18339	NULL	1	NULL	alive
1002106	bci	1	Violaceae	Hybanthus	prunifolius	hybapr	NULL	494	NULL	1910	2307	383.79999	218.70000	3.80000	18.70000	144796	166529	852440	7	NULL	main	6	6	32	1.30	2005-04-18	16544	L	1	NULL	alive
998978	bci	1	Violaceae	Hybanthus	prunifolius	hybapr	NULL	494	NULL	1910	2307	383.79999	218.70000	3.80000	18.70000	144796	166529	852440	7	NULL	main	171	7	33	1.30	2010-04-30	18382	NULL	1	NULL	alive
648978	bci	1	Rubiaceae	Faramea	occidentalis	faraoc	NULL	379	NULL	3419	2691	687.50000	393.60001	7.50000	13.60000	74137	088372	74137	1		main	6	6	58	1.30	2005-08-10	16658	NULL	1	NULL	alive
646613	bci	1	Rubiaceae	Faramea	occidentalis	faraoc	NULL	379	NULL	3419	2691	687.50000	393.60001	7.50000	13.60000	74137	088372	74137	1		main	171	7	59	1.30	2010-07-01	18444	L	1	NULL	alive
1791440	bci	1	Violaceae	Hybanthus	prunifolius	hybapr	NULL	494	NULL	3801	2773	769.70001	31.20000	9.70000	11.20000	296701	438053	296701	1		main	6	6	30	1.30	2005-07-01	16618	NULL	1	NULL	alive
